parent_ref_no,parent_inci_name,parent_function,parent_main_cat,parent_cas,position_dans_groupe,total_dans_groupe,sub_molecule,sub_matter_type,sub_size_category,sub_name_length,sub_main_function
86911,DILINOLEIC ACID/PROPANEDIOL COPOLYMER,"EMOLLIENT, FILM FORMING, PLASTICISER, VISCOSITY CONTROLLING",Émollient / Conditioning,,2,2,PROPANEDIOL COPOLYMER,Polymère,Courte (16-25),21,Émollient
87153,DIMER DILINOLEYL BIS-LAUROYL SARCOSINATE/MYRISTOYL METHYL BETA-ALANINATE,"BINDING, EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING",Émollient / Conditioning,,1,2,DIMER DILINOLEYL BIS-LAUROYL SARCOSINATE,Molécule chimique,Moyenne (26-50),40,Émollient
87153,DIMER DILINOLEYL BIS-LAUROYL SARCOSINATE/MYRISTOYL METHYL BETA-ALANINATE,"BINDING, EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING",Émollient / Conditioning,,2,2,MYRISTOYL METHYL BETA-ALANINATE,Molécule chimique,Moyenne (26-50),31,Émollient
87201,DIMER DILINOLEYL BIS-LAUROYLGLUTAMATE/LAUROYLSARCOSINATE,"BINDING, EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,1,2,DIMER DILINOLEYL BIS-LAUROYLGLUTAMATE,Molécule chimique,Moyenne (26-50),37,Émollient
87201,DIMER DILINOLEYL BIS-LAUROYLGLUTAMATE/LAUROYLSARCOSINATE,"BINDING, EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,2,LAUROYLSARCOSINATE,Molécule chimique,Courte (16-25),18,Émollient
89705,DIMER DILINOLEYL DIMER DILINOLEATE/IPDI COPOLYMER,"BINDING, EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,1,2,DIMER DILINOLEYL DIMER DILINOLEATE,Molécule chimique,Moyenne (26-50),34,Émollient
89705,DIMER DILINOLEYL DIMER DILINOLEATE/IPDI COPOLYMER,"BINDING, EMOLLIENT, SKIN CONDITIONING",Émollient / Conditioning,,2,2,IPDI COPOLYMER,Polymère,Très courte (≤15),14,Émollient
86298,DIMETHICONE/BIS-ISOBUTYL PPG-20 CROSSPOLYMER,"EMOLLIENT, VISCOSITY CONTROLLING",Émollient / Conditioning,,1,2,DIMETHICONE,Silicone,Très courte (≤15),11,Émollient
86298,DIMETHICONE/BIS-ISOBUTYL PPG-20 CROSSPOLYMER,"EMOLLIENT, VISCOSITY CONTROLLING",Émollient / Conditioning,,2,2,BIS-ISOBUTYL PPG-20 CROSSPOLYMER,Polymère,Moyenne (26-50),32,Émollient
86296,DIMETHICONE/PPG-20 CROSSPOLYMER,"EMOLLIENT, VISCOSITY CONTROLLING",Émollient / Conditioning,,1,2,DIMETHICONE,Silicone,Très courte (≤15),11,Émollient
86296,DIMETHICONE/PPG-20 CROSSPOLYMER,"EMOLLIENT, VISCOSITY CONTROLLING",Émollient / Conditioning,,2,2,PPG-20 CROSSPOLYMER,Polymère,Courte (16-25),19,Émollient
